1microTrapping,레이저 전류[mA],최대 가능한 속도[mm/s],,,,
불확도,오류 : \pm 2,set1,set2,set3,average,std
0.0005,83.1,0.053,0.058,0.055,0.055333333,0.002516611
,72,0.043,0.052,0.044,0.046333333,0.004932883
,61.8,0.031,0.033,0.029,0.031,0.002
,52.4,0.025,0.024,0.024,0.024333333,0.00057735
,41.4,0.013,0.01,0.012,0.011666667,0.001527525
