LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5538274,5538274,484,0.7880083918571472,260.40598806974066,720.7089327023257,0.0,2479.0,2479,17.5,1,,102.08201304753028,68.0,0.0,255.0,109534.0,83.56471921472819,0.11414596937519834,0.2503080116162355
ID5538900,5538900,484,0.7458904981613159,259.19940846460327,721.8936716003458,0.0,2480.0,2480,17.5,1,,108.9878844361603,75.0,0.0,255.0,116944.0,84.67416059506684,0.13655686527166327,0.3092998343191632
ID5541388,5541388,484,0.7022096514701843,256.55685424792034,723.6291350264212,0.0,2481.0,2481,17.5,1,,112.10251630941286,85.0,0.0,255.0,120286.0,84.59421756114152,0.13653133258604586,0.31838719651095093
ID5539510,5539510,484,0.6067438721656799,252.43417583114743,725.6914903951794,0.0,2482.0,2482,17.5,1,,104.13793103448276,78.0,0.0,255.0,111740.0,82.72854811792897,0.08375003075620241,0.19455365340301703
ID5540129,5540129,484,0.7225803732872009,247.95161332664514,727.9604771148711,0.0,2483.0,2483,17.5,1,,102.82013047530289,68.0,0.0,255.0,110326.0,85.1506253492659,0.10081474847893888,0.22117199530310439
ID5542000,5542000,484,0.6548672318458557,246.31688122025895,728.6906504851262,0.0,2484.0,2484,17.5,1,,102.89655172413794,71.0,0.0,255.0,110408.0,86.31303405727846,0.08711603230988185,0.19106301214089366
ID5540771,5540771,484,0.7381505370140076,246.88443674931347,733.3044630282482,0.0,2485.0,2485,17.5,1,,105.51724137931035,72.0,0.0,255.0,113220.0,84.74407219084614,0.12389920536991889,0.27452711865354024
ID5543245,5543245,484,0.7381555438041687,244.02229776323995,733.5037080600986,0.0,2486.0,2486,17.5,1,,101.71481826654241,68.0,0.0,255.0,109140.0,84.79381673628488,0.09379771478133868,0.20573362813232024
ID5543858,5543858,484,0.6345459818840027,244.25361751221226,731.2733149804053,0.0,2487.0,2487,17.5,1,,99.15750232991613,63.0,0.0,255.0,106396.0,87.61352114705659,0.06904578360876708,0.14619256889178048
ID5542628,5542628,484,0.6171213984489441,243.67086266969284,731.4328121268351,0.0,2488.0,2488,17.5,1,,98.85461323392357,67.0,0.0,255.0,106071.0,83.87528121082198,0.05966375876785303,0.13271972598297024
ID5545097,5545097,484,0.6143136024475098,242.15816658423526,730.4699340900298,0.0,2489.0,2489,17.5,1,,102.52656104380242,67.0,0.0,255.0,110011.0,86.31425517528828,0.06869984571517772,0.1527157656628581
ID5544487,5544487,484,0.6347018480300903,237.56704013008445,737.3789637930857,0.0,2490.0,2490,17.5,1,,103.96738117427772,84.0,0.0,255.0,111557.0,76.80086589475293,0.08133473286704153,0.20364646489115254
ID5546352,5546352,484,0.6705032587051392,234.8053148807947,737.2565929446417,0.0,2491.0,2491,17.5,1,,113.91146318732525,91.0,0.0,255.0,122227.0,87.17509287692009,0.14782537589584008,0.33657215039356936
