1microTrapping,레이저 전류[mA],최대 가능한 속도[mm/s],,,,
불확도,오류 : \pm 2,set1,set2,set3,average,std
0.0005,81.9,0.043,0.061,0.06,0.054666667,0.010115994
,71,0.045,0.054,0.047,0.048666667,0.004725816
,61.5,0.035,0.034,0.032,0.033666667,0.001527525
,51,0.03,0.024,0.026,0.026666667,0.00305505
,40.7,0.01,0.014,0.013,0.012333333,0.002081666
