1microTrapping,레이저 전류[mA],최대 가능한 속도[mm/s],,,,
불확도,오류 : \pm 2,set1,set2,set3,average,std
0.0005,80,0.043,0.043,0.035,0.040333333,0.004618802
,70,0.024,0.032,0.028,0.028,0.004
,60,0.022,0.021,0.026,0.023,0.002645751
,50.6,0.019,0.018,0.016,0.017666667,0.001527525
,41.9,0.005,0.004,0.004,0.004333333,0.00057735
